Datum (Gastag, 6:00–6:00);VHP-Index [Eurocent/kWh];VHP-Index inkl. (+2%) [Eurocent/kWh];VHP-Index inkl. (-2%) [Eurocent/kWh];RE-Preis Min. (inkl. Transportkosten) [Eurocent/kWh];RE-Preis Max. (inkl. Transportkosten) [Eurocent/kWh];Transportkostenanteil Einkauf [Eurocent/kWh];Transportkostenanteil Verkauf [Eurocent/kWh];Preis fuer neg. Ausgleichsenergie [Eurocent/kWh];Preis fuer pos. Ausgleichsenergie [Eurocent/kWh];Preis fuer neg. Ausgleichsenergie [Euro/MWh];Preis fuer pos. Ausgleichsenergie [Euro/MWh]
01.10.2008;1;0;0;0;0;0;0;0;0;0;0
01.11.2008;0;0;0;0;0;0;0;0;0;0;0
01.12.2008;0;0;0;0;0;0;0;0;0;0;0
01.01.2009;0;0;0;0;0;0;0;0;0;0;0
01.02.2009;0;0;0;0;0;0;0;0;0;0;0
01.03.2009;0;0;0;0;0;0;0;0;0;0;0
01.04.2009;0;0;0;0;0;0;0;0;0;0;0
01.05.2009;0;0;0;0;0;0;0;0;0;0;0
01.06.2009;0;0;0;0;0;0;0;0;0;0;0
01.07.2009;0;0;0;0;0;0;0;0;0;0;0
01.08.2009;0;0;0;0;0;0;0;0;0;0;0
01.09.2009;0;0;0;0;0;0;0;0;0;0;0
01.10.2009;0;0;0;0;0;0;0;0;0;0;0
01.11.2009;0;0;0;0;0;0;0;0;0;0;0
01.12.2009;0;0;0;0;0;0;0;0;0;0;0
01.01.2010;0;0;0;0;0;0;0;0;0;0;0
01.02.2010;0;0;0;0;0;0;0;0;0;0;0
01.03.2010;0;0;0;0;0;0;0;0;0;0;0
01.04.2010;0;0;0;0;0;0;0;0;0;0;0
01.05.2010;0;0;0;0;0;0;0;0;0;0;0
01.06.2010;0;0;0;0;0;0;0;0;0;0;0
01.07.2010;0;0;0;0;0;0;0;0;0;0;0
01.08.2010;0;0;0;0;0;0;0;0;0;0;0
01.09.2010;0;0;0;0;0;0;0;0;0;0;0
01.10.2010;0;0;0;0;0;0;0;0;0;0;0
01.11.2010;0;0;0;0;0;0;0;0;0;0;0
01.12.2010;0;0;0;0;0;0;0;0;0;0;0
01.01.2011;0;0;0;0;0;0;0;0;0;0;0
01.02.2011;0;0;0;0;0;0;0;0;0;0;0
01.03.2011;0;0;0;0;0;0;0;0;0;0;0
01.04.2011;0;0;0;0;0;0;0;0;0;0;0
01.05.2011;0;0;0;0;0;0;0;0;0;0;0
01.06.2011;0;0;0;0;0;0;0;0;0;0;0
01.07.2011;0;0;0;0;0;0;0;0;0;0;0
01.08.2011;0;0;0;0;0;0;0;0;0;0;0
01.09.2011;0;0;0;0;0;0;0;0;0;0;0
01.10.2011;0;0;0;0;0;0;0;0;0;0;0
01.11.2011;0;0;0;0;0;0;0;0;0;0;0
01.12.2011;0;0;0;0;0;0;0;0;0;0;0
01.01.2012;0;0;0;0;0;0;0;0;0;0;0
01.02.2012;0;0;0;0;0;0;0;0;0;0;0
01.03.2012;0;0;0;0;0;0;0;0;0;0;0
01.04.2012;0;0;0;0;0;0;0;0;0;0;0
01.05.2012;0;0;0;0;0;0;0;0;0;0;0
01.06.2012;0;0;0;0;0;0;0;0;0;0;0
01.07.2012;0;0;0;0;0;0;0;0;0;0;0
01.08.2012;0;0;0;0;0;0;0;0;0;0;0
01.09.2012;0;0;0;0;0;0;0;0;0;0;0
01.10.2012;0;0;0;0;0;0;0;0;0;0;0
01.11.2012;0;0;0;0;0;0;0;0;0;0;0
01.12.2012;0;0;0;0;0;0;0;0;0;0;0
01.01.2013;0;0;0;0;0;0;0;0;0;0;0
01.02.2013;0;0;0;0;0;0;0;0;0;0;0
01.03.2013;0;0;0;0;0;0;0;0;0;0;0
01.04.2013;0;0;0;0;0;0;0;0;0;0;0
01.05.2013;0;0;0;0;0;0;0;0;0;0;0
01.06.2013;0;0;0;0;0;0;0;0;0;0;0
01.07.2013;0;0;0;0;0;0;0;0;0;0;0
01.08.2013;0;0;0;0;0;0;0;0;0;0;0
01.09.2013;0;0;0;0;0;0;0;0;0;0;0
01.10.2013;0;0;0;0;0;0;0;0;0;0;0
01.11.2013;0;0;0;0;0;0;0;0;0;0;0
01.12.2013;0;0;0;0;0;0;0;0;0;0;0
01.01.2014;0;0;0;0;0;0;0;0;0;0;0
01.02.2014;0;0;0;0;0;0;0;0;0;0;0
01.03.2014;0;0;0;0;0;0;0;0;0;0;0
01.04.2014;0;0;0;0;0;0;0;0;0;0;0
01.05.2014;0;0;0;0;0;0;0;0;0;0;0
01.06.2014;0;0;0;0;0;0;0;0;0;0;0
01.07.2014;0;0;0;0;0;0;0;0;0;0;0
01.08.2014;0;0;0;0;0;0;0;0;0;0;0
01.09.2014;0;0;0;0;0;0;0;0;0;0;0
01.10.2014;0;0;0;0;0;0;0;0;0;0;0
01.11.2014;0;0;0;0;0;0;0;0;0;0;0
01.12.2014;0;0;0;0;0;0;0;0;0;0;0
01.01.2015;0;0;0;0;0;0;0;0;0;0;0
01.02.2015;0;0;0;0;0;0;0;0;0;0;0
01.03.2015;0;0;0;0;0;0;0;0;0;0;0
01.04.2015;0;0;0;0;0;0;0;0;0;0;0
01.05.2015;0;0;0;0;0;0;0;0;0;0;0
01.06.2015;0;0;0;0;0;0;0;0;0;0;0
01.07.2015;0;0;0;0;0;0;0;0;0;0;0
01.08.2015;0;0;0;0;0;0;0;0;0;0;0
01.09.2015;0;0;0;0;0;0;0;0;0;0;0
30.09.2015;1,8717;1,9091;1,8343;0;1,96;0;0;1,8343;1,96;18,343;19,6
01.10.2015;1,8331;1,8698;1,7964;1,5;;;;1,5;1,8698;15;18,698
02.10.2015;1,804;1,8401;1,7679;1,635;;;;1,635;1,8401;16,35;18,401
03.10.2015;1,7789;1,8145;1,7433;;;;;1,7433;1,8145;17,433;18,145
04.10.2015;1,7606;1,7958;1,7254;1,25;;;0;1,25;1,7958;12,5;17,958
05.10.2015;1,78;1,8156;1,7444;;;;;1,7444;1,8156;17,444;18,156
06.10.2015;1,8033;1,8394;1,7672;;1,975;0;;1,7672;1,975;17,672;19,75
07.10.2015;1,8031;1,8392;1,767;;1,9579;0,0829;;1,767;1,9579;17,67;19,579
08.10.2015;1,8666;1,9039;1,8293;;2,1775;0;;1,8293;2,1775;18,293;21,775
09.10.2015;1,8768;1,9143;1,8393;;1,99;0;;1,8393;1,99;18,393;19,9
